date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:57:11	72350/72350	---M-Z	200	added ('OK')	text/html	etag:%2211a9e-61de2cf1f18c0-gzip%22	https://leo9studio.com/	C:/MANTHAN/psmcodes/website/leo9studio.com/index.html	(from )
00:57:11	148/148	---M-Z	200	added ('OK')	text/plain	etag:%22f6-5fe7509a52580-gzip%22	https://leo9studio.com/robots.txt		(from )
00:57:11	12887/12887	---M--	200	added ('OK')	image/png	etag:%223257-615b47118a100%22	https://leo9studio.com/apple-touch-icon.png?v=1	C:/MANTHAN/psmcodes/website/leo9studio.com/apple-touch-icon3860.png	(from https://leo9studio.com/)
00:57:11	2076/2076	---M--	200	added ('OK')	image/png	etag:%2281c-615b47118a100%22	https://leo9studio.com/favicon-32x32.png?v=1	C:/MANTHAN/psmcodes/website/leo9studio.com/favicon-32x323860.png	(from https://leo9studio.com/)
00:57:11	15347/15347	---M--	200	added ('OK')	image/png	etag:%223bf3-615b47118a100%22	https://leo9studio.com/favicon-194x194.png?v=1	C:/MANTHAN/psmcodes/website/leo9studio.com/favicon-194x1943860.png	(from https://leo9studio.com/)
00:57:12	13515/13515	---M--	200	added ('OK')	image/png	etag:%2234cb-615b470bd1380%22	https://leo9studio.com/android-chrome-192x192.png?v=1	C:/MANTHAN/psmcodes/website/leo9studio.com/android-chrome-192x1923860.png	(from https://leo9studio.com/)
00:57:12	1032/1032	---M--	200	added ('OK')	image/png	etag:%22408-615b47118a100%22	https://leo9studio.com/favicon-16x16.png?v=1	C:/MANTHAN/psmcodes/website/leo9studio.com/favicon-16x163860.png	(from https://leo9studio.com/)
00:57:12	1385/1385	---M--	200	added ('OK')	text/html	etag:%22569-615b9143dee40%22	https://leo9studio.com/site.webmanifest	C:/MANTHAN/psmcodes/website/leo9studio.com/site.html	(from https://leo9studio.com/)
00:57:12	5806/5806	---M--	200	added ('OK')	image/svg+xml	etag:%2216ae-615b471372580%22	https://leo9studio.com/safari-pinned-tab.svg	C:/MANTHAN/psmcodes/website/leo9studio.com/safari-pinned-tab.svg	(from https://leo9studio.com/)
00:57:12	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223aee-615b471372580%22	https://leo9studio.com/favicon.ico	C:/MANTHAN/psmcodes/website/leo9studio.com/favicon.ico	(from https://leo9studio.com/)
00:57:13	11158/11158	---M--	200	added ('OK')	image/png	etag:%222b96-615b471372580%22	https://leo9studio.com/mstile-144x144.png?v=1	C:/MANTHAN/psmcodes/website/leo9studio.com/mstile-144x1443860.png	(from https://leo9studio.com/)
00:57:13	18837/18837	---M--	200	added ('OK')	image/png	etag:%224995-615b470bd1380%22	https://leo9studio.com/android-chrome-256x256.png?auto=format&h=256&v=1.0	C:/MANTHAN/psmcodes/website/leo9studio.com/android-chrome-256x2569ab5.png	(from https://leo9studio.com/)
00:57:13	3395/3395	---M-Z	200	added ('OK')	text/css	etag:%22d43-606bb36c82000-gzip%22	https://leo9studio.com/css/leo9font.css?v=1.1	C:/MANTHAN/psmcodes/website/leo9studio.com/css/leo9fontf9e3.css	(from https://leo9studio.com/)
00:57:13	202718/202718	---M-Z	200	added ('OK')	text/css	etag:%22317de-6173d6e587a00-gzip%22	https://leo9studio.com/css/main.css?v=1.8	C:/MANTHAN/psmcodes/website/leo9studio.com/css/maind28d.css	(from https://leo9studio.com/)
00:57:14	238404/238404	---M-Z	200	added ('OK')	application/javascript	etag:%22fda945e68fa15761595e37d41ed96750%22	https://cmp.osano.com/169xomU4A9IGa1qFV/1eff298a-6bbc-4863-882f-1a52351771eb/osano.js	C:/MANTHAN/psmcodes/website/cmp.osano.com/169xomU4A9IGa1qFV/1eff298a-6bbc-4863-882f-1a52351771eb/osano.js	(from https://leo9studio.com/)
00:57:14	111/111	---M--	200	added ('OK')	image/png	etag:%22c3ac28a2f9f531296c599223c1e62e3c%22	https://ik.imagekit.io/2eribsa8w/down-arrow-1_bJX3ixv_r_.png	C:/MANTHAN/psmcodes/website/ik.imagekit.io/2eribsa8w/down-arrow-1_bJX3ixv_r_.png	(from https://leo9studio.com/)
00:57:15	105/105	---M--	200	added ('OK')	image/png	etag:W/%2269-1IPKNbwfOY+HCZ9jYWa5FGmHshY%22	https://ik.imagekit.io/2eribsa8w/down-arrow-1-dark_C9jwAHVffL.png	C:/MANTHAN/psmcodes/website/ik.imagekit.io/2eribsa8w/down-arrow-1-dark_C9jwAHVffL.png	(from https://leo9studio.com/)
00:57:15	12133/12133	---M--	200	added ('OK')	image/svg+xml	etag:%222f65-5f055b3eb9340%22	https://leo9studio.com/img/logo-l-1.svg	C:/MANTHAN/psmcodes/website/leo9studio.com/img/logo-l-1.svg	(from https://leo9studio.com/)
00:57:15	11308/11308	---M--	200	added ('OK')	image/svg+xml	etag:%222c2c-5f07da64a03c0%22	https://leo9studio.com/img/client-logos/dark/5.svg	C:/MANTHAN/psmcodes/website/leo9studio.com/img/client-logos/dark/5.svg	(from https://leo9studio.com/)
00:57:15	2205/2205	---M--	200	added ('OK')	image/svg+xml	etag:%2289d-5f055b3eb9340%22	https://leo9studio.com/img/logo-l-2.svg	C:/MANTHAN/psmcodes/website/leo9studio.com/img/logo-l-2.svg	(from https://leo9studio.com/)
00:57:16	2238/2238	---M--	200	added ('OK')	image/svg+xml	etag:%228be-5f07da583a680%22	https://leo9studio.com/img/client-logos/dark/2.svg	C:/MANTHAN/psmcodes/website/leo9studio.com/img/client-logos/dark/2.svg	(from https://leo9studio.com/)
00:57:16	4934/4934	---M--	200	added ('OK')	image/svg+xml	etag:%221346-5f055b3eb9340%22	https://leo9studio.com/img/logo-l-3.svg	C:/MANTHAN/psmcodes/website/leo9studio.com/img/logo-l-3.svg	(from https://leo9studio.com/)
00:57:16	4881/4881	---M--	200	added ('OK')	image/svg+xml	etag:%221311-5f07da5375b40%22	https://leo9studio.com/img/client-logos/dark/3.svg	C:/MANTHAN/psmcodes/website/leo9studio.com/img/client-logos/dark/3.svg	(from https://leo9studio.com/)
00:57:16	7442/7442	---M--	200	added ('OK')	image/svg+xml	etag:%221d12-5f055b3eb9340%22	https://leo9studio.com/img/logo-l-4.svg	C:/MANTHAN/psmcodes/website/leo9studio.com/img/logo-l-4.svg	(from https://leo9studio.com/)
00:57:16	7804/7804	---M--	200	added ('OK')	image/svg+xml	etag:%221e7c-5f07da2e44380%22	https://leo9studio.com/img/client-logos/dark/4.svg	C:/MANTHAN/psmcodes/website/leo9studio.com/img/client-logos/dark/4.svg	(from https://leo9studio.com/)
00:57:17	2840/2840	---M--	200	added ('OK')	image/svg+xml	etag:%22b18-5f055b5d3db40%22	https://leo9studio.com/img/logo-l-5.svg	C:/MANTHAN/psmcodes/website/leo9studio.com/img/logo-l-5.svg	(from https://leo9studio.com/)
00:57:17	4248/4248	---M--	200	added ('OK')	image/svg+xml	etag:%221098-5f07da5ee7640%22	https://leo9studio.com/img/client-logos/dark/1.svg	C:/MANTHAN/psmcodes/website/leo9studio.com/img/client-logos/dark/1.svg	(from https://leo9studio.com/)
00:57:17	6471/6471	---M--	200	added ('OK')	image/svg+xml	etag:%221947-5f055b3eb9340%22	https://leo9studio.com/img/logo-l-6.svg	C:/MANTHAN/psmcodes/website/leo9studio.com/img/logo-l-6.svg	(from https://leo9studio.com/)
00:57:17	6194/6194	---M--	200	added ('OK')	image/svg+xml	etag:%221832-5f07ce6012940%22	https://leo9studio.com/img/client-logos/dark/6.svg	C:/MANTHAN/psmcodes/website/leo9studio.com/img/client-logos/dark/6.svg	(from https://leo9studio.com/)
00:57:18	33454/33454	---M-Z	200	added ('OK')	text/html	etag:%2282ae-61d6dbffe0380-gzip%22	https://leo9studio.com/our-work/rigi.html	C:/MANTHAN/psmcodes/website/leo9studio.com/our-work/rigi.html	(from https://leo9studio.com/)
00:57:18	32052/32052	---M-Z	200	added ('OK')	text/html	etag:%227d34-61d6dc2da6f80-gzip%22	https://leo9studio.com/our-work/bmw.html	C:/MANTHAN/psmcodes/website/leo9studio.com/our-work/bmw.html	(from https://leo9studio.com/)
00:57:19	30759/30759	---M-Z	200	added ('OK')	text/html	etag:%227827-61d6dc2da6f80-gzip%22	https://leo9studio.com/our-work/nirmal-bang.html	C:/MANTHAN/psmcodes/website/leo9studio.com/our-work/nirmal-bang.html	(from https://leo9studio.com/)
00:57:23	1116998/1116998	---M--	200	added ('OK')	image/png	etag:%22e88b2f2ca3a0979fe5ff3f0bfaad1f83%22	https://ik.imagekit.io/2eribsa8w/tr:f-auto/bmw_ux_consultant_leo9_studio_home_Hd163zd_tt.png	C:/MANTHAN/psmcodes/website/ik.imagekit.io/2eribsa8w/tr_f-auto/bmw_ux_consultant_leo9_studio_home_Hd163zd_tt.png	(from https://leo9studio.com/)
00:57:23	164914/164914	---M--	200	added ('OK')	image/png	etag:%22c36f35b179f7e931d24d955605b734da%22	https://ik.imagekit.io/2eribsa8w/jugal_web_application_leo9_studio_kWavsXDGU8S.png	C:/MANTHAN/psmcodes/website/ik.imagekit.io/2eribsa8w/jugal_web_application_leo9_studio_kWavsXDGU8S.png	(from https://leo9studio.com/)
00:57:23	4472/4472	---M--	200	added ('OK')	image/jpeg	etag:W/%221178-hFN+si48VFRIFflUCpGdrVdZdKc%22	https://ik.imagekit.io/2eribsa8w/kamlesh-dixit_-3B1XOunV.jpg	C:/MANTHAN/psmcodes/website/ik.imagekit.io/2eribsa8w/kamlesh-dixit_-3B1XOunV.jpg	(from https://leo9studio.com/)
00:57:23	9223/9223	---M--	200	added ('OK')	image/jpeg	etag:%229c3af41b43c40ccaf1c12e364751840e%22	https://ik.imagekit.io/2eribsa8w/amit-singh_2hbwldUnU.jpg	C:/MANTHAN/psmcodes/website/ik.imagekit.io/2eribsa8w/amit-singh_2hbwldUnU.jpg	(from https://leo9studio.com/)
00:57:24	9228/9228	---M--	200	added ('OK')	image/jpeg	etag:%22f24c45e1ed9cd79af9d826f0b860f9e5%22	https://ik.imagekit.io/2eribsa8w/client-rob_jZRIMY34MGv.jpg	C:/MANTHAN/psmcodes/website/ik.imagekit.io/2eribsa8w/client-rob_jZRIMY34MGv.jpg	(from https://leo9studio.com/)
